timediff,colony,f1,tp,fp,fn,tn,num_cells1,num_cells2,precision,recall
5,5,1.0,2684,0,0,57472,2684,2720,1.0,1.0
5,6,0.9997142040583024,3498,1,1,246875,3499,3633,0.9997142040583024,0.9997142040583024
10,5,0.9988662131519275,2643,3,3,56754,2646,2718,0.9988662131519275,0.9988662131519275
10,6,0.9979216152019003,3361,7,7,237877,3368,3630,0.9979216152019003,0.9979216152019003
15,5,0.9961656441717791,2598,10,10,56026,2608,2716,0.9961656441717791,0.9961656441717791
15,6,0.9935205183585313,3220,21,21,229090,3241,3627,0.9935205183585313,0.9935205183585313
20,5,0.9922209257098406,2551,20,20,55324,2571,2713,0.9922209257098406,0.9922209257098406
20,6,0.9821042887997532,3183,58,58,238105,3241,3768,0.9821042887997532,0.9821042887997532
